City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
255,Sistranda,NO,12/20/21 2:54,63.7256,8.834,40.89,63,100,16.51
256,Sao Joao Da Barra,BR,12/20/21 2:54,-21.6403,-41.0511,72.77,83,97,9.46
257,Ipixuna,BR,12/20/21 2:54,-1.7625,-48.8043,78.75,97,100,3.15
258,Touros,BR,12/20/21 2:50,-5.1989,-35.4608,81.5,78,100,9.62
259,Hearst,CA,12/20/21 2:54,49.6835,-83.6665,14.25,88,100,13.49
260,Yuancheng,CN,12/20/21 2:54,36.652,107.7896,38.98,15,38,11.07
261,Semporna,MY,12/20/21 2:54,4.4818,118.6112,86.2,76,100,10.96
262,Cidreira,BR,12/20/21 2:50,-30.1811,-50.2056,70.38,82,0,22.66
263,Hirara,JP,12/20/21 2:53,24.8,125.2833,69.66,56,20,9.22
264,Anchorage,US,12/20/21 2:51,61.2181,-149.9003,22.64,87,90,0
265,Vestmannaeyjar,IS,12/20/21 2:54,63.4427,-20.2734,45.72,82,100,4.36
266,Kavieng,PG,12/20/21 2:54,-2.5744,150.7967,82.72,75,82,2.17
267,Bilma,NE,12/20/21 2:54,18.6853,12.9164,55.42,36,0,11.27
268,Beidao,CN,12/20/21 2:54,34.5686,105.8933,42.06,30,4,0.51
269,Goba,ET,12/20/21 2:54,7.0167,39.9833,48.7,87,57,3.09
270,Lazaro Cardenas,MX,12/20/21 2:54,17.9583,-102.2,78.46,73,98,3.78
272,Korla,CN,12/20/21 2:54,41.7597,86.1469,23.4,54,47,1.63
273,Mayo,US,12/20/21 2:54,38.8876,-76.5119,37.74,61,21,5.01
274,Banda Aceh,ID,12/20/21 2:54,5.5577,95.3222,78.58,86,100,20.36
275,Maarianhamina,AX,12/20/21 2:54,60.0973,19.9348,28.26,59,75,16.11
276,Markala,ML,12/20/21 2:54,13.7021,-6.0659,69.93,16,32,10.02
277,Mahebourg,MU,12/20/21 2:53,-20.4081,57.7,80.26,83,40,5.75
278,Ninghai,CN,12/20/21 2:54,29.2892,121.4247,54.73,51,17,2.98
279,Ferrol,ES,12/20/21 2:54,43.4832,-8.2369,55.65,68,100,8.63
280,Novyy Buyan,RU,12/20/21 2:54,53.6861,50.0469,30.36,95,100,17.9
281,Kedougou,SN,12/20/21 2:54,12.5579,-12.1743,75.31,24,39,3.62
282,Kardla,EE,12/20/21 2:54,58.9978,22.7492,27.01,68,100,20.6
283,Karratha,AU,12/20/21 2:52,-20.7377,116.8463,93.24,50,9,21.5
284,Walvis Bay,NA,12/20/21 2:53,-22.9575,14.5053,62.1,94,89,6.91
285,Kruisfontein,ZA,12/20/21 2:54,-34.0033,24.7314,62.89,95,100,8.99
286,Jumla,NP,12/20/21 2:54,29.2747,82.1838,40.44,12,0,3.31
287,Eufaula,US,12/20/21 2:49,31.8913,-85.1455,49.78,87,95,7.56
288,Wajir,KE,12/20/21 2:54,1.7471,40.0573,76.44,81,100,9.51
289,Mehriz,IR,12/20/21 2:54,31.5917,54.4318,43.3,58,78,5.03
290,Ishurdi,BD,12/20/21 2:54,24.1333,89.0833,60.96,35,0,7.34
291,Kimbe,PG,12/20/21 2:54,-5.5502,150.1429,78.84,90,100,2.08
292,Mahon,ES,12/20/21 2:54,39.8885,4.2658,50.56,81,90,3.44
293,Tlanepantla,MX,12/20/21 2:54,18.85,-97.9,60.21,70,64,6.11
294,Loralai,PK,12/20/21 2:54,30.3705,68.598,46.4,29,0,1.25
295,Lakatoro,VU,12/20/21 2:54,-16.0999,167.4164,84.58,68,93,7.49
296,Nador,MA,12/20/21 2:54,35.174,-2.9287,55.65,94,20,0
298,Tigre,AR,12/20/21 2:54,-34.426,-58.5796,76.26,79,0,9.22
299,Lorengau,PG,12/20/21 2:54,-2.0226,147.2712,83.37,80,100,12.12
300,Manacapuru,BR,12/20/21 2:54,-3.2997,-60.6206,77.58,94,100,1.32
301,Sorland,NO,12/20/21 2:50,67.667,12.6934,39.79,54,98,16.44
302,College,US,12/20/21 2:52,64.8569,-147.8028,21.58,89,90,3.44
303,Mao,ES,12/20/21 2:54,39.8885,4.2658,50.56,81,90,3.44
304,Batouri,CM,12/20/21 2:54,4.4333,14.3667,67.44,48,2,2.59
305,Bowen,AU,12/20/21 2:54,-20.0167,148.2333,88.02,63,12,14.94
306,Sedona,US,12/20/21 2:54,34.8697,-111.761,43.86,56,0,1.01
307,Orapa,BW,12/20/21 2:54,-21.2833,25.3667,63.63,80,82,12.1
308,Lata,PT,12/20/21 2:54,40.1629,-8.3327,59.07,69,100,9.28
309,Labuhan,ID,12/20/21 2:54,-6.8844,112.2051,82.89,75,100,4.43
310,Ciudad Bolivar,VE,12/20/21 2:54,8.1222,-63.5497,75.97,86,90,10.36
311,Encruzilhada Do Sul,BR,12/20/21 2:54,-30.5439,-52.5219,60.57,91,0,4.21
312,Necochea,AR,12/20/21 2:54,-38.5473,-58.7368,61.56,88,0,5.99
313,Dalvik,IS,12/20/21 2:54,65.9702,-18.5286,42.73,90,100,9.98
314,Saint-Francois,FR,12/20/21 2:52,46.4154,3.9054,34.48,100,90,1.14
315,Abu Dhabi,AE,12/20/21 2:54,24.4667,54.3667,67.96,75,0,5.75
316,Riachao Das Neves,BR,12/20/21 2:53,-11.7461,-44.91,71.17,96,100,2.21
318,Sao Jose Da Coroa Grande,BR,12/20/21 2:53,-8.8978,-35.1478,78.62,79,87,8.5
319,Badiraguato,MX,12/20/21 2:54,25.3667,-107.5167,59.7,50,0,3.89
320,Hovd,MN,12/20/21 2:54,48.0056,91.6419,17.46,54,100,4.27
