City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
505,Kloulklubed,PW,81.1,Rain,7.0419,134.2556,Storyboard Beach Resort
507,Olinda,BR,85.73,Clouds,-8.0089,-34.8553,Hotel Albergue de Olinda
509,Grand-Bourg,GP,82.35,Clouds,15.8835,-61.3148,Coco Beach Resort
513,Tena,EC,84.36,Clouds,-0.9833,-77.8167,Hostal Tena Ñaui
514,Puerto Carreno,CO,89.58,Clouds,6.189,-67.4859,Casa Hotel Victoria
515,Salalah,OM,77.09,Clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
516,Sabang,ID,80.67,Clouds,5.8933,95.3214,Hotel Citra
521,Atar,MR,81.12,Clear,20.5169,-13.0499,Oumou Elghoura
525,Cidreira,BR,77.7,Clouds,-30.1811,-50.2056,Hotel Castelo
526,Lazaro Cardenas,MX,81.09,Clear,17.9583,-102.2,quinta antigua
527,Mimoso Do Sul,BR,79.79,Clouds,-21.0642,-41.3664,Mimoso Plaza Hotel
536,Talara,PE,81.36,Clear,-4.5772,-81.2719,Hostal Oro Negro
556,Cap Malheureux,MU,77.49,Clouds,-19.9842,57.6142,Pereybere Hotel & Spa
562,Nouadhibou,MR,85.98,Clear,20.931,-17.0347,El Medina
564,Natuba,BR,89.53,Clouds,-7.6414,-35.55,Pousada Recanto do Amanhecer
570,Tautira,PF,78.82,Rain,-17.7333,-149.15,Pension Oaoa
573,Pilar,BR,89.53,Clouds,-9.5972,-35.9567,Pousada e churrascaria Manguaba
574,Mitsamiouli,KM,84.49,Clouds,-11.3847,43.2844,Foyer ADM
575,Hobyo,SO,78.8,Clouds,5.3505,48.5268,Halane Hotel and Restaurent
576,La Union,PE,85.69,Clouds,-5.4,-80.75,Los Portales
578,Miramar,US,82.42,Clouds,25.9873,-80.2323,Casa Miramar
581,Tefe,BR,87.91,Clouds,-3.3542,-64.7114,Aracati Hotel
585,Raga,SS,82.24,Clouds,8.4596,25.678,
588,Santa Rosa,PH,76.98,Clouds,14.3122,121.1114,Erlyn’s Sta Rosa City Home
589,Nampula,MZ,85.95,Rain,-15.1165,39.2666,BUTIK Hotel
590,Arraial Do Cabo,BR,76.96,Drizzle,-22.9661,-42.0278,Pousada Porto Praia
593,Inhambane,MZ,78.78,Clouds,-23.865,35.3833,Oceano
